Catalyst,f4,f5,f6,f7,f8,f9,t
3,5.5,0.2,0,40.0,5.0,0,0.0
3,5.5,0.2,0,40.0,5.0,30,12.95
3,5.5,0.2,0,40.0,5.0,60,36.68
3,5.5,0.2,0,40.0,5.0,90,55.21
3,5.5,0.2,0,40.0,5.0,120,68.47
3,5.5,0.2,0,40.0,5.0,150,79.87
3,5.5,0.2,0,40.0,5.0,180,85.24
3,5.5,1.0,0,40.0,5.0,0,0.0
3,5.5,1.0,0,40.0,5.0,30,14.85
3,5.5,1.0,0,40.0,5.0,60,24.88
3,5.5,1.0,0,40.0,5.0,90,32.94
3,5.5,1.0,0,40.0,5.0,120,44.82
3,5.5,1.0,0,40.0,5.0,150,58.26
3,5.5,1.0,0,40.0,5.0,180,62.13
3,5.5,2.0,0,40.0,5.0,0,0.0
3,5.5,2.0,0,40.0,5.0,30,14.46
3,5.5,2.0,0,40.0,5.0,60,15.1
3,5.5,2.0,0,40.0,5.0,90,15.93
3,5.5,2.0,0,40.0,5.0,120,16.79
3,5.5,2.0,0,40.0,5.0,150,18.94
3,5.5,2.0,0,40.0,5.0,180,19.4
3,5.5,0.2,0,20.0,5.0,0,0.0
3,5.5,0.2,0,20.0,5.0,30,21.14
3,5.5,0.2,0,20.0,5.0,60,42.21
3,5.5,0.2,0,20.0,5.0,90,60.75
3,5.5,0.2,0,20.0,5.0,120,67.96
3,5.5,0.2,0,20.0,5.0,150,77.88
3,5.5,0.2,0,20.0,5.0,180,80.38
3,5.5,0.2,0,40.0,5.0,0,0.0
3,5.5,0.2,0,40.0,5.0,30,12.58
3,5.5,0.2,0,40.0,5.0,60,33.1
3,5.5,0.2,0,40.0,5.0,90,42.68
3,5.5,0.2,0,40.0,5.0,120,54.85
3,5.5,0.2,0,40.0,5.0,150,64.64
3,5.5,0.2,0,40.0,5.0,180,72.94
3,5.5,0.2,0,60.0,5.0,0,0.0
3,5.5,0.2,0,60.0,5.0,30,8.96
3,5.5,0.2,0,60.0,5.0,60,24.47
3,5.5,0.2,0,60.0,5.0,90,37.09
3,5.5,0.2,0,60.0,5.0,120,45.96
3,5.5,0.2,0,60.0,5.0,150,54.79
3,5.5,0.2,0,60.0,5.0,180,62.46
3,5.5,0.2,0,40.0,0.5,0,0.0
3,5.5,0.2,0,40.0,0.5,30,12.35
3,5.5,0.2,0,40.0,0.5,60,17.63
3,5.5,0.2,0,40.0,0.5,90,21.44
3,5.5,0.2,0,40.0,0.5,120,24.64
3,5.5,0.2,0,40.0,0.5,150,26.91
3,5.5,0.2,0,40.0,0.5,180,29.19
3,5.5,0.2,0,40.0,2.0,0,0.0
3,5.5,0.2,0,40.0,2.0,30,11.27
3,5.5,0.2,0,40.0,2.0,60,18.12
3,5.5,0.2,0,40.0,2.0,90,22.68
3,5.5,0.2,0,40.0,2.0,120,27.07
3,5.5,0.2,0,40.0,2.0,150,33.53
3,5.5,0.2,0,40.0,2.0,180,41.01
3,5.5,0.2,0,40.0,5.0,0,0.0
3,5.5,0.2,0,40.0,5.0,30,12.58
3,5.5,0.2,0,40.0,5.0,60,33.1
3,5.5,0.2,0,40.0,5.0,90,42.68
3,5.5,0.2,0,40.0,5.0,120,54.85
3,5.5,0.2,0,40.0,5.0,150,64.64
3,5.5,0.2,0,40.0,5.0,180,72.94
2,5.5,0.2,0,40.0,5.0,0,0.0
2,5.5,0.2,0,40.0,5.0,30,12.95
2,5.5,0.2,0,40.0,5.0,60,36.69
2,5.5,0.2,0,40.0,5.0,90,55.21
2,5.5,0.2,0,40.0,5.0,120,68.47
2,5.5,0.2,0,40.0,5.0,150,79.88
2,5.5,0.2,0,40.0,5.0,180,85.25
2,5.5,1.0,0,40.0,5.0,0,0.0
2,5.5,1.0,0,40.0,5.0,30,14.86
2,5.5,1.0,0,40.0,5.0,60,35.68
2,5.5,1.0,0,40.0,5.0,90,47.07
2,5.5,1.0,0,40.0,5.0,120,57.34
2,5.5,1.0,0,40.0,5.0,150,68.65
2,5.5,1.0,0,40.0,5.0,180,75.04
2,5.5,2.0,0,40.0,5.0,0,0.0
2,5.5,2.0,0,40.0,5.0,30,17.47
2,5.5,2.0,0,40.0,5.0,60,33.0
2,5.5,2.0,0,40.0,5.0,90,41.34
2,5.5,2.0,0,40.0,5.0,120,49.11
2,5.5,2.0,0,40.0,5.0,150,65.06
2,5.5,2.0,0,40.0,5.0,180,70.68
2,5.5,0.2,0,20.0,5.0,0,0.0
2,5.5,0.2,0,20.0,5.0,30,35.1
2,5.5,0.2,0,20.0,5.0,60,54.33
2,5.5,0.2,0,20.0,5.0,90,67.8
2,5.5,0.2,0,20.0,5.0,120,77.41
2,5.5,0.2,0,20.0,5.0,150,82.19
2,5.5,0.2,0,20.0,5.0,180,87.02
2,5.5,0.2,0,40.0,5.0,0,0.0
2,5.5,0.2,0,40.0,5.0,30,12.95
2,5.5,0.2,0,40.0,5.0,60,36.69
2,5.5,0.2,0,40.0,5.0,90,55.21
2,5.5,0.2,0,40.0,5.0,120,68.47
2,5.5,0.2,0,40.0,5.0,150,79.88
2,5.5,0.2,0,40.0,5.0,180,85.25
2,5.5,0.2,0,60.0,5.0,0,0.0
2,5.5,0.2,0,60.0,5.0,30,5.08
2,5.5,0.2,0,60.0,5.0,60,21.65
2,5.5,0.2,0,60.0,5.0,90,34.23
2,5.5,0.2,0,60.0,5.0,120,44.92
2,5.5,0.2,0,60.0,5.0,150,55.07
2,5.5,0.2,0,60.0,5.0,180,62.13
2,5.5,0.2,0,40.0,0.5,0,0.0
2,5.5,0.2,0,40.0,0.5,30,11.18
2,5.5,0.2,0,40.0,0.5,60,17.82
2,5.5,0.2,0,40.0,0.5,90,20.01
2,5.5,0.2,0,40.0,0.5,120,26.85
2,5.5,0.2,0,40.0,0.5,150,30.54
2,5.5,0.2,0,40.0,0.5,180,31.69
2,5.5,0.2,0,40.0,2.0,0,0.0
2,5.5,0.2,0,40.0,2.0,30,15.08
2,5.5,0.2,0,40.0,2.0,60,28.35
2,5.5,0.2,0,40.0,2.0,90,31.93
2,5.5,0.2,0,40.0,2.0,120,34.1
2,5.5,0.2,0,40.0,2.0,150,37.31
2,5.5,0.2,0,40.0,2.0,180,41.41
2,5.5,0.2,0,40.0,5.0,0,0.0
2,5.5,0.2,0,40.0,5.0,30,12.95
2,5.5,0.2,0,40.0,5.0,60,36.69
2,5.5,0.2,0,40.0,5.0,90,55.21
2,5.5,0.2,0,40.0,5.0,120,68.47
2,5.5,0.2,0,40.0,5.0,150,79.88
2,5.5,0.2,0,40.0,5.0,180,85.25
3,2.0,0.2,10,0.0,0.5,0,0.0
3,2.0,0.2,10,0.0,0.5,20,15.88
3,2.0,0.2,10,0.0,0.5,40,25.78
3,2.0,0.2,10,0.0,0.5,60,35.53
3,2.0,0.2,10,0.0,0.5,80,48.65
3,2.0,0.2,10,0.0,0.5,100,53.64
3,2.0,0.2,10,0.0,0.5,120,63.15
3,2.0,0.2,10,0.0,0.5,140,67.6
3,2.0,0.2,10,0.0,0.5,160,72.05
3,2.0,0.2,10,0.0,0.5,180,72.67
3,2.0,0.2,10,0.0,0.5,200,73.28
3,3.0,0.2,10,0.0,0.5,0,0.0
3,3.0,0.2,10,0.0,0.5,20,37.56
3,3.0,0.2,10,0.0,0.5,40,46.39
3,3.0,0.2,10,0.0,0.5,60,52.93
3,3.0,0.2,10,0.0,0.5,80,59.19
3,3.0,0.2,10,0.0,0.5,100,64.43
3,3.0,0.2,10,0.0,0.5,120,67.47
3,3.0,0.2,10,0.0,0.5,140,70.97
3,3.0,0.2,10,0.0,0.5,160,76.22
3,3.0,0.2,10,0.0,0.5,180,77.78
3,3.0,0.2,10,0.0,0.5,200,80.82
3,5.0,0.2,10,0.0,0.5,0,0.0
3,5.0,0.2,10,0.0,0.5,20,4.78
3,5.0,0.2,10,0.0,0.5,40,9.02
3,5.0,0.2,10,0.0,0.5,60,10.48
3,5.0,0.2,10,0.0,0.5,80,13.13
3,5.0,0.2,10,0.0,0.5,100,17.51
3,5.0,0.2,10,0.0,0.5,120,19.23
3,5.0,0.2,10,0.0,0.5,140,22.82
3,5.0,0.2,10,0.0,0.5,160,23.61
3,5.0,0.2,10,0.0,0.5,180,27.33
3,5.0,0.2,10,0.0,0.5,200,28.79
3,9.0,0.2,10,0.0,0.5,0,0.0
3,9.0,0.2,10,0.0,0.5,20,3.52
3,9.0,0.2,10,0.0,0.5,40,6.93
3,9.0,0.2,10,0.0,0.5,60,9.72
3,9.0,0.2,10,0.0,0.5,80,11.42
3,9.0,0.2,10,0.0,0.5,100,14.95
3,9.0,0.2,10,0.0,0.5,120,16.53
3,9.0,0.2,10,0.0,0.5,140,17.86
3,9.0,0.2,10,0.0,0.5,160,20.42
3,9.0,0.2,10,0.0,0.5,180,21.27
3,9.0,0.2,10,0.0,0.5,200,25.03
3,3.0,0.2,10,0.0,0.5,0,0.0
3,3.0,0.2,10,0.0,0.5,20,37.56
3,3.0,0.2,10,0.0,0.5,40,46.39
3,3.0,0.2,10,0.0,0.5,60,52.93
3,3.0,0.2,10,0.0,0.5,80,59.19
3,3.0,0.2,10,0.0,0.5,100,64.43
3,3.0,0.2,10,0.0,0.5,120,67.47
3,3.0,0.2,10,0.0,0.5,140,70.97
3,3.0,0.2,10,0.0,0.5,160,76.22
3,3.0,0.2,10,0.0,0.5,180,77.78
3,3.0,0.2,10,0.0,0.5,200,80.82
3,3.0,0.4,10,0.0,0.5,0,0.0
3,3.0,0.4,10,0.0,0.5,20,27.68
3,3.0,0.4,10,0.0,0.5,40,47.16
3,3.0,0.4,10,0.0,0.5,60,58.93
3,3.0,0.4,10,0.0,0.5,80,67.14
3,3.0,0.4,10,0.0,0.5,100,74.16
3,3.0,0.4,10,0.0,0.5,120,77.72
3,3.0,0.4,10,0.0,0.5,140,82.36
3,3.0,0.4,10,0.0,0.5,160,87.01
3,3.0,0.4,10,0.0,0.5,180,88.29
3,3.0,0.4,10,0.0,0.5,200,89.18
3,3.0,1.0,10,0.0,0.5,0,0.0
3,3.0,1.0,10,0.0,0.5,20,50.62
3,3.0,1.0,10,0.0,0.5,40,61.2
3,3.0,1.0,10,0.0,0.5,60,68.22
3,3.0,1.0,10,0.0,0.5,80,73.56
3,3.0,1.0,10,0.0,0.5,100,78.31
3,3.0,1.0,10,0.0,0.5,120,80.38
3,3.0,1.0,10,0.0,0.5,140,82.26
3,3.0,1.0,10,0.0,0.5,160,83.05
3,3.0,1.0,10,0.0,0.5,180,83.85
3,3.0,1.0,10,0.0,0.5,200,85.23
3,3.0,0.4,10,0.0,0.5,0,0.0
3,3.0,0.4,10,0.0,0.5,20,27.68
3,3.0,0.4,10,0.0,0.5,40,47.16
3,3.0,0.4,10,0.0,0.5,60,58.93
3,3.0,0.4,10,0.0,0.5,80,67.14
3,3.0,0.4,10,0.0,0.5,100,74.16
3,3.0,0.4,10,0.0,0.5,120,77.72
3,3.0,0.4,10,0.0,0.5,140,82.36
3,3.0,0.4,10,0.0,0.5,160,87.01
3,3.0,0.4,10,0.0,0.5,180,88.29
3,3.0,0.4,10,0.0,0.5,200,89.18
3,3.0,0.4,10,0.0,1.0,0,0.0
3,3.0,0.4,10,0.0,1.0,20,45.26
3,3.0,0.4,10,0.0,1.0,40,62.77
3,3.0,0.4,10,0.0,1.0,60,75.66
3,3.0,0.4,10,0.0,1.0,80,83.53
3,3.0,0.4,10,0.0,1.0,100,88.55
3,3.0,0.4,10,0.0,1.0,120,92.39
3,3.0,0.4,10,0.0,1.0,140,92.98
3,3.0,0.4,10,0.0,1.0,160,95.04
3,3.0,0.4,10,0.0,1.0,180,95.04
3,3.0,0.4,10,0.0,1.0,200,95.04
3,3.0,0.4,10,0.0,20.0,0,0.0
3,3.0,0.4,10,0.0,20.0,20,94.16
3,3.0,0.4,10,0.0,20.0,40,97.99
3,3.0,0.4,10,0.0,20.0,60,98.01
3,3.0,0.4,10,0.0,20.0,80,98.01
3,3.0,0.4,10,0.0,20.0,100,98.01
3,3.0,0.4,10,0.0,20.0,120,98.01
3,3.0,0.4,10,0.0,20.0,140,98.01
3,3.0,0.4,10,0.0,20.0,160,98.01
3,3.0,0.4,10,0.0,20.0,180,98.01
3,3.0,0.4,10,0.0,20.0,200,98.01
3,3.0,0.4,10,0.0,70.0,0,0.0
3,3.0,0.4,10,0.0,70.0,20,85.46
3,3.0,0.4,10,0.0,70.0,40,89.96
3,3.0,0.4,10,0.0,70.0,60,89.96
3,3.0,0.4,10,0.0,70.0,80,89.96
3,3.0,0.4,10,0.0,70.0,100,89.96
3,3.0,0.4,10,0.0,70.0,120,89.96
3,3.0,0.4,10,0.0,70.0,140,89.96
3,3.0,0.4,10,0.0,70.0,160,89.96
3,3.0,0.4,10,0.0,70.0,180,89.96
3,3.0,0.4,10,0.0,70.0,200,89.96
3,3.0,0.4,5,0.0,0.5,0,0.0
3,3.0,0.4,5,0.0,0.5,20,43.78
3,3.0,0.4,5,0.0,0.5,40,59.25
3,3.0,0.4,5,0.0,0.5,60,71.63
3,3.0,0.4,5,0.0,0.5,80,77.97
3,3.0,0.4,5,0.0,0.5,100,82.61
3,3.0,0.4,5,0.0,0.5,120,86.33
3,3.0,0.4,5,0.0,0.5,140,89.27
3,3.0,0.4,5,0.0,0.5,160,92.05
3,3.0,0.4,5,0.0,0.5,180,93.6
3,3.0,0.4,5,0.0,0.5,200,93.6
3,3.0,0.4,10,0.0,0.5,0,0.0
3,3.0,0.4,10,0.0,0.5,20,27.68
3,3.0,0.4,10,0.0,0.5,40,47.16
3,3.0,0.4,10,0.0,0.5,60,58.93
3,3.0,0.4,10,0.0,0.5,80,67.14
3,3.0,0.4,10,0.0,0.5,100,74.16
3,3.0,0.4,10,0.0,0.5,120,77.72
3,3.0,0.4,10,0.0,0.5,140,82.36
3,3.0,0.4,10,0.0,0.5,160,87.01
3,3.0,0.4,10,0.0,0.5,180,88.29
3,3.0,0.4,10,0.0,0.5,200,89.18
3,3.0,0.4,15,0.0,0.5,0,0.0
3,3.0,0.4,15,0.0,0.5,20,9.91
3,3.0,0.4,15,0.0,0.5,40,15.84
3,3.0,0.4,15,0.0,0.5,60,28.31
3,3.0,0.4,15,0.0,0.5,80,39.19
3,3.0,0.4,15,0.0,0.5,100,50.13
3,3.0,0.4,15,0.0,0.5,120,57.48
3,3.0,0.4,15,0.0,0.5,140,64.03
3,3.0,0.4,15,0.0,0.5,160,71.15
3,3.0,0.4,15,0.0,0.5,180,75.71
3,3.0,0.4,15,0.0,0.5,200,77.59
1,2.0,0.2,10,0.0,0.5,0,0.0
1,2.0,0.2,10,0.0,0.5,20,24.78
1,2.0,0.2,10,0.0,0.5,40,32.79
1,2.0,0.2,10,0.0,0.5,60,43.61
1,2.0,0.2,10,0.0,0.5,80,50.89
1,2.0,0.2,10,0.0,0.5,100,60.24
1,2.0,0.2,10,0.0,0.5,120,66.52
1,2.0,0.2,10,0.0,0.5,140,70.93
1,2.0,0.2,10,0.0,0.5,160,75.47
1,2.0,0.2,10,0.0,0.5,180,77.81
1,2.0,0.2,10,0.0,0.5,200,80.28
1,3.0,0.2,10,0.0,0.5,0,0.0
1,3.0,0.2,10,0.0,0.5,20,48.56
1,3.0,0.2,10,0.0,0.5,40,61.22
1,3.0,0.2,10,0.0,0.5,60,70.0
1,3.0,0.2,10,0.0,0.5,80,75.0
1,3.0,0.2,10,0.0,0.5,100,80.77
1,3.0,0.2,10,0.0,0.5,120,83.26
1,3.0,0.2,10,0.0,0.5,140,84.9
1,3.0,0.2,10,0.0,0.5,160,86.62
1,3.0,0.2,10,0.0,0.5,180,88.69
1,3.0,0.2,10,0.0,0.5,200,91.96
1,5.0,0.2,10,0.0,0.5,0,0.0
1,5.0,0.2,10,0.0,0.5,20,2.86
1,5.0,0.2,10,0.0,0.5,40,8.98
1,5.0,0.2,10,0.0,0.5,60,12.39
1,5.0,0.2,10,0.0,0.5,80,21.41
1,5.0,0.2,10,0.0,0.5,100,28.28
1,5.0,0.2,10,0.0,0.5,120,34.7
1,5.0,0.2,10,0.0,0.5,140,40.4
1,5.0,0.2,10,0.0,0.5,160,43.92
1,5.0,0.2,10,0.0,0.5,180,49.93
1,5.0,0.2,10,0.0,0.5,200,57.03
1,9.0,0.2,10,0.0,0.5,0,0.0
1,9.0,0.2,10,0.0,0.5,20,5.46
1,9.0,0.2,10,0.0,0.5,40,10.45
1,9.0,0.2,10,0.0,0.5,60,14.99
1,9.0,0.2,10,0.0,0.5,80,20.68
1,9.0,0.2,10,0.0,0.5,100,22.07
1,9.0,0.2,10,0.0,0.5,120,25.32
1,9.0,0.2,10,0.0,0.5,140,29.27
1,9.0,0.2,10,0.0,0.5,160,31.36
1,9.0,0.2,10,0.0,0.5,180,33.11
1,9.0,0.2,10,0.0,0.5,200,35.2
1,3.0,0.2,10,0.0,0.5,0,0.0
1,3.0,0.2,10,0.0,0.5,20,22.34
1,3.0,0.2,10,0.0,0.5,40,35.19
1,3.0,0.2,10,0.0,0.5,60,45.5
1,3.0,0.2,10,0.0,0.5,80,51.48
1,3.0,0.2,10,0.0,0.5,100,61.03
1,3.0,0.2,10,0.0,0.5,120,68.16
1,3.0,0.2,10,0.0,0.5,140,73.69
1,3.0,0.2,10,0.0,0.5,160,82.73
1,3.0,0.2,10,0.0,0.5,180,86.04
1,3.0,0.2,10,0.0,0.5,200,86.36
1,3.0,0.4,10,0.0,0.5,0,0.0
1,3.0,0.4,10,0.0,0.5,20,25.33
1,3.0,0.4,10,0.0,0.5,40,44.53
1,3.0,0.4,10,0.0,0.5,60,57.9
1,3.0,0.4,10,0.0,0.5,80,67.19
1,3.0,0.4,10,0.0,0.5,100,75.21
1,3.0,0.4,10,0.0,0.5,120,82.67
1,3.0,0.4,10,0.0,0.5,140,87.8
1,3.0,0.4,10,0.0,0.5,160,90.48
1,3.0,0.4,10,0.0,0.5,180,93.78
1,3.0,0.4,10,0.0,0.5,200,96.95
1,3.0,1.0,10,0.0,0.5,0,0.0
1,3.0,1.0,10,0.0,0.5,20,48.56
1,3.0,1.0,10,0.0,0.5,40,60.44
1,3.0,1.0,10,0.0,0.5,60,70.0
1,3.0,1.0,10,0.0,0.5,80,75.0
1,3.0,1.0,10,0.0,0.5,100,80.77
1,3.0,1.0,10,0.0,0.5,120,83.26
1,3.0,1.0,10,0.0,0.5,140,84.9
1,3.0,1.0,10,0.0,0.5,160,86.62
1,3.0,1.0,10,0.0,0.5,180,88.69
1,3.0,1.0,10,0.0,0.5,200,91.53
1,3.0,0.4,10,0.0,0.5,0,0.0
1,3.0,0.4,10,0.0,0.5,20,25.33
1,3.0,0.4,10,0.0,0.5,40,44.53
1,3.0,0.4,10,0.0,0.5,60,57.9
1,3.0,0.4,10,0.0,0.5,80,67.19
1,3.0,0.4,10,0.0,0.5,100,75.21
1,3.0,0.4,10,0.0,0.5,120,82.67
1,3.0,0.4,10,0.0,0.5,140,87.8
1,3.0,0.4,10,0.0,0.5,160,90.48
1,3.0,0.4,10,0.0,0.5,180,93.78
1,3.0,0.4,10,0.0,0.5,200,96.95
1,3.0,0.4,10,0.0,1.0,0,0.0
1,3.0,0.4,10,0.0,1.0,20,40.77
1,3.0,0.4,10,0.0,1.0,40,58.52
